67272	2011-05-17T21:12:00+03:00	6
67581	2011-05-17T21:21:00+03:00	23
67826	2011-05-18T10:53:00+03:00	5
68051	2011-05-18T11:03:00+03:00	3
68266	2011-05-18T12:16:00+03:00	8
68448	2011-05-18T12:18:00+03:00	10
68693	2011-05-18T18:29:00+03:00	9
69083	2011-05-19T10:58:00+03:00	14
69194	2011-05-19T11:40:00+03:00	26
69643	2011-05-19T14:09:00+03:00	7
70026	2011-05-19T15:10:00+03:00	36
70185	2011-05-19T19:09:00+03:00	31
70627	2011-05-19T19:25:00+03:00	5
70737	2011-05-19T19:48:00+03:00	12
71141	2011-05-20T11:16:00+03:00	23
71450	2011-05-20T13:21:00+03:00	6
71752	2011-05-20T13:38:00+03:00	2
72150	2011-05-20T18:51:00+03:00	7
72374	2011-05-22T18:51:00+03:00	15
72683	2011-05-23T11:31:00+03:00	10
73174	2011-05-23T15:56:00+03:00	5
73314	2011-05-23T16:12:00+03:00	35
72826	2011-05-23T17:59:00+03:00	20
73710	2011-05-23T21:22:00+03:00	11
73841	2011-05-23T21:45:00+03:00	13
74167	2011-05-23T22:04:00+03:00	9
74740	2011-05-24T00:24:00+03:00	8
74924	2011-05-24T11:13:00+03:00	17
75182	2011-05-24T11:29:00+03:00	14
75444	2011-05-24T13:42:00+03:00	7
75839	2011-05-24T15:56:00+03:00	9
75703	2011-05-24T17:51:00+03:00	6
76186	2011-05-24T18:15:00+03:00	43
76659	2011-05-25T11:30:00+03:00	19
76807	2011-05-25T11:34:00+03:00	47
77542	2011-05-25T16:35:00+03:00	5
77273	2011-05-25T17:31:00+03:00	14
77656	2011-05-26T10:23:00+03:00	2
77833	2011-05-26T12:00:00+03:00	37
78146	2011-05-26T17:10:00+03:00	22
78548	2011-05-27T10:32:00+03:00	5
78711	2011-05-27T10:51:00+03:00	18
79067	2011-05-27T11:28:00+03:00	26
79337	2011-05-29T14:02:00+03:00	2
79432	2011-05-29T14:07:00+03:00	1
79639	2011-05-29T14:24:00+03:00	11
80058	2011-05-29T18:23:00+03:00	13
80295	2011-05-30T01:10:00+03:00	44
80439	2011-05-30T09:23:00+03:00	23
80748	2011-05-30T10:44:00+03:00	12
81151	2011-05-30T10:54:00+03:00	30
81198	2011-05-30T16:52:00+03:00	19
81653	2011-05-30T17:48:00+03:00	28
81666	2011-05-31T02:18:00+03:00	10
82120	2011-05-31T02:28:00+03:00	14
82205	2011-05-31T02:38:00+03:00	7
82562	2011-05-31T10:47:00+03:00	15
82754	2011-05-31T10:58:00+03:00	41
83116	2011-05-31T13:55:00+03:00	41
83227	2011-05-31T19:02:00+03:00	14
83615	2011-05-31T20:46:00+03:00	18
83977	2011-06-01T10:57:00+03:00	13
84259	2011-06-01T11:09:00+03:00	16
84614	2011-06-01T11:20:00+03:00	10
84838	2011-06-01T11:24:00+03:00	7
85389	2011-06-01T16:21:00+03:00	56
85661	2011-06-01T16:29:00+03:00	19
85776	2011-06-01T21:03:00+03:00	26
86232	2011-06-01T21:59:00+03:00	30
86281	2011-06-02T11:11:00+03:00	18
86653	2011-06-02T11:29:00+03:00	32
86885	2011-06-02T11:40:00+03:00	13
87193	2011-06-02T11:56:00+03:00	15
87549	2011-06-02T12:06:00+03:00	14
87673	2011-06-02T12:11:00+03:00	7
89137	2011-06-02T16:35:00+03:00	20
87841	2011-06-02T18:19:00+03:00	7
88243	2011-06-02T18:41:00+03:00	34
88551	2011-06-02T21:19:00+03:00	8
88639	2011-06-02T21:52:00+03:00	11
89018	2011-06-02T22:22:00+03:00	17
89351	2011-06-03T10:42:00+03:00	19
89833	2011-06-03T10:50:00+03:00	37
89910	2011-06-03T10:59:00+03:00	10
90352	2011-06-03T11:53:00+03:00	18
90553	2011-06-03T12:05:00+03:00	10
90962	2011-06-03T15:04:00+03:00	9
91360	2011-06-03T15:23:00+03:00	36
91474	2011-06-03T22:01:00+03:00	1
92023	2011-06-05T02:11:00+03:00	18
92177	2011-06-05T20:37:00+03:00	19
92485	2011-06-05T20:43:00+03:00	9
92930	2011-06-05T21:03:00+03:00	11
93371	2011-06-06T00:35:00+03:00	13
