date,comments_count,post_count,comments_average
2013-09-19,1977,19,104
2013-09-20,1686,11,153
2013-09-21,1702,12,141
2013-09-22,534,6,89
2013-09-23,2087,31,67
2013-09-24,3375,24,140
2013-09-25,1815,16,113
2013-09-26,2795,24,116
2013-09-27,2298,26,88
2013-09-28,1542,12,128
2013-09-29,1754,14,125
2013-09-30,2552,19,134
2013-10-01,2358,28,84
2013-10-02,1666,25,66
2013-10-03,1951,20,97
2013-10-04,2274,23,98
2013-10-05,1281,20,64
2013-10-06,939,11,85
2013-10-07,2898,20,144
2013-10-08,2139,22,97
2013-10-09,1391,21,66
2013-10-10,2148,26,82
2013-10-11,1965,25,78
2013-10-12,1107,18,61
2013-10-13,1152,16,72
2013-10-14,2011,31,64
2013-10-15,2457,23,106
2013-10-16,1736,19,91
2013-10-17,1847,15,123
2013-10-18,1453,20,72
2013-10-19,878,7,125
2013-10-20,380,5,76
2013-10-21,1554,18,86
2013-10-22,1982,24,82
2013-10-23,1712,14,122
2013-10-24,2107,18,117
2013-10-25,1579,18,87
2013-10-26,601,13,46
2013-10-27,700,9,77
2013-10-28,1595,16,99
2013-10-29,1959,16,122
2013-10-30,2213,21,105
2013-10-31,2014,18,111
2013-11-01,1979,15,131
2013-11-02,1708,7,244
2013-11-03,581,7,83
2013-11-04,527,7,75
2013-11-05,2098,23,91
2013-11-06,2556,13,196
2013-11-07,1921,21,91
2013-11-08,2081,18,115
2013-11-09,1366,21,65
2013-11-10,1873,10,187
2013-11-11,864,13,66
2013-11-12,2075,16,129
2013-11-13,1911,16,119
2013-11-14,1682,17,98
2013-11-15,1139,14,81
2013-11-16,1712,14,122
2013-11-17,1535,11,139
2013-11-18,2597,29,89
2013-11-19,1890,28,67
2013-11-20,2037,25,81
2013-11-21,2543,26,97
2013-11-22,3651,15,243
2013-11-23,549,9,61
2013-11-24,907,10,90
2013-11-25,1170,19,61
2013-11-26,1884,17,110
2013-11-27,1938,21,92
2013-11-28,1089,12,90
2013-11-29,1171,15,78
2013-11-30,3769,13,289
2013-12-01,638,6,106
2013-12-02,907,14,64
2013-12-03,1755,19,92
2013-12-04,2642,31,85
2013-12-05,1390,17,81
2013-12-06,1709,13,131
2013-12-07,906,12,75
2013-12-08,1743,17,102
2013-12-09,1791,17,105
2013-12-10,1258,19,66
2013-12-11,1382,15,92
2013-12-12,1294,18,71
2013-12-13,1293,18,71
2013-12-14,1037,11,94
2013-12-15,1581,15,105
2013-12-16,1202,18,66
2013-12-17,1925,16,120
2013-12-18,2803,17,164
2013-12-19,2138,23,92
2013-12-20,1106,11,100
2013-12-21,910,13,70
2013-12-22,656,10,65
2013-12-23,2359,27,87
2013-12-24,1921,18,106
2013-12-25,2200,18,122
2013-12-26,1987,24,82
2013-12-27,1112,16,69
2013-12-28,546,7,78
2013-12-29,1287,11,117
2013-12-30,2250,22,102
